loc,link/_rel,link/_media,link/_href,priority
https://www.kitapyurdu.com/kitap/suriye-kurtleriinkar-edilen-halk/101416.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101416,1.0
https://www.kitapyurdu.com/kitap/kecen-derike--yen-serseri/101417.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101417,1.0
https://www.kitapyurdu.com/kitap/kitaplik-sayi-109-ekim-2007/101418.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101418,1.0
https://www.kitapyurdu.com/kitap/goktepekerkuk-gokmenlerinin-romani/101419.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101419,1.0
https://www.kitapyurdu.com/kitap/kitaplik-sayi-110-kasim-2007/101420.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101420,1.0
https://www.kitapyurdu.com/kitap/sanat-eserinin-kokeni/101421.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101421,1.0
https://www.kitapyurdu.com/kitap/bir-istanbul-bilgesi-sermet-muhtar-alus-18871952/101422.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101422,1.0
https://www.kitapyurdu.com/kitap/su-siir-isciligi-charles-eliot-norton-konferanslari-19671968/101423.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101423,1.0
https://www.kitapyurdu.com/kitap/devleti-aliyyede-sinema/101424.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101424,1.0
https://www.kitapyurdu.com/kitap/osmanli-ekonomisi-ve-kurumlari/101425.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101425,1.0
https://www.kitapyurdu.com/kitap/yazgiya-bas-kaldiran-yazarnecati-tosuner/101426.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101426,1.0
https://www.kitapyurdu.com/kitap/te-bira-min/101427.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101427,1.0
https://www.kitapyurdu.com/kitap/kaplumbagalar-da-ucar/101428.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101428,1.0
https://www.kitapyurdu.com/kitap/benim-sanat-kitabim-ciltli/101429.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101429,1.0
https://www.kitapyurdu.com/kitap/diaspora-mekanlarikurt-kimlikleri-oteki-olma-deneyimleri-ve-aidiyet-politikalari/101430.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101430,1.0
https://www.kitapyurdu.com/kitap/annemin-ardindan/101431.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101431,1.0
https://www.kitapyurdu.com/kitap/altin-pusula-kuzey-isiklari/101432.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101432,1.0
https://www.kitapyurdu.com/kitap/altin-pusula--karanlik-cevher-dizisi-amp-filmin-hikaye-kitabi/101433.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101433,1.0
https://www.kitapyurdu.com/kitap/minik-balik-okyanus-macerasi/101434.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101434,1.0
https://www.kitapyurdu.com/kitap/kirmizi-bisiklet/101435.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101435,1.0
https://www.kitapyurdu.com/kitap/gunes-sistemine-seyahatciltli/101436.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101436,1.0
https://www.kitapyurdu.com/kitap/akdeniz-yemeklericiltli/101437.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101437,1.0
https://www.kitapyurdu.com/kitap/dunyanin-en-guzel-tatlilariciltli/101438.html,alternate,only screen and (max-width: 640px),http://m.kitapyurdu.com/index.php?route=products/productdetail&product_id=101438,1.0
